date,open,high,low,close,adj_close,volume
,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX
5/23/2002,1.156429052,1.242856979,1.145714045,1.196429014,1.196429014,104790000
5/24/2002,1.21428597,1.225000024,1.197142959,1.210000038,1.210000038,11104800
5/28/2002,1.213570952,1.232143044,1.157142997,1.157142997,1.157142997,6609400
5/29/2002,1.164286017,1.164286017,1.085713983,1.103571057,1.103571057,6757800
5/30/2002,1.107856989,1.107856989,1.071429014,1.071429014,1.071429014,10154200
5/31/2002,1.078570962,1.078570962,1.071429014,1.076429009,1.076429009,8464400
6/3/2002,1.080000043,1.149286032,1.076429009,1.128571033,1.128571033,3151400
6/4/2002,1.135714054,1.139999986,1.110713959,1.117856979,1.117856979,3105200
6/5/2002,1.110713959,1.159286022,1.107143044,1.147143006,1.147143006,1531600
6/6/2002,1.149999976,1.232143044,1.148571014,1.182142973,1.182142973,2305800
6/7/2002,1.177857041,1.177857041,1.103571057,1.118571043,1.118571043,1369200
6/10/2002,1.13499999,1.174999952,1.134286046,1.156429052,1.156429052,484400
6/11/2002,1.156429052,1.188570976,1.128571033,1.15357101,1.15357101,1003800
6/12/2002,1.15357101,1.182142973,1.08928597,1.092857003,1.092857003,1799000
6/13/2002,1.104285955,1.12214303,1.080000043,1.082857013,1.082857013,2567600
6/14/2002,1.082142949,1.085713983,0.980000019,0.986428976,0.986428976,4783800
6/17/2002,1.013571024,1.059285998,0.917856991,0.922142982,0.922142982,4855200
6/18/2002,0.938570976,0.939285994,0.842142999,0.910713971,0.910713971,10808000
6/19/2002,0.911428988,0.996429026,0.892857015,0.951429009,0.951429009,5482400
6/20/2002,0.97142899,1.039999962,0.949999988,0.957143009,0.957143009,6111000
6/21/2002,0.982142985,0.989286005,0.947857022,0.979286015,0.979286015,2346400
6/24/2002,0.979286015,1.014286041,0.957143009,0.978570998,0.978570998,2567600
6/25/2002,0.988570988,1.007143021,0.947143018,0.964286029,0.964286029,3941000
6/26/2002,0.963571012,0.996429026,0.921428978,0.988570988,0.988570988,2924600
6/27/2002,1.009286046,1.018571019,0.942857027,0.943570971,0.943570971,3817800
6/28/2002,0.960713983,1.013571024,0.960713983,0.999285996,0.999285996,9234400
7/1/2002,1,1.046429038,0.992856979,1.027856946,1.027856946,4585000
7/2/2002,1.053570986,1.195000052,1.039286017,1.172857046,1.172857046,9020200
7/3/2002,1.178570986,1.21428597,1.117856979,1.21428597,1.21428597,4957400
7/5/2002,1.21428597,1.299286008,1.213570952,1.276429057,1.276429057,2003400
7/8/2002,1.252143025,1.252143025,1.167857051,1.175714016,1.175714016,1953000
7/9/2002,1.174999952,1.196429014,1.114285946,1.16071403,1.16071403,2935800
7/10/2002,1.161429048,1.178570986,1.132143021,1.163571,1.163571,1554000
7/11/2002,1.154286027,1.27857101,1.132856965,1.269286036,1.269286036,2529800
7/12/2002,1.27857101,1.279999971,1.207142949,1.207857013,1.207857013,2837800
7/15/2002,1.242856979,1.248571038,1.076429009,1.142856956,1.142856956,4239200
7/16/2002,1.152856946,1.157142997,1.104285955,1.126428962,1.126428962,1941800
7/17/2002,1.144999981,1.163571,1.075713992,1.08928597,1.08928597,1261400
7/18/2002,1.117143035,1.166429043,1.110713959,1.149286032,1.149286032,2899400
7/19/2002,1.152856946,1.16071403,1.12214303,1.159999967,1.159999967,1792000
7/22/2002,1.135714054,1.179286003,1.11500001,1.170714021,1.170714021,1993600
7/23/2002,1.176429033,1.213570952,1.130714059,1.146428943,1.146428943,1577800
7/24/2002,1.146428943,1.159286022,1.074285984,1.114285946,1.114285946,3355800
7/25/2002,1.125,1.12785697,1.034999967,1.036429048,1.036429048,4755800
7/26/2002,1.049999952,1.058570981,0.850000024,0.871429026,0.871429026,7046200
7/29/2002,0.896429002,0.924286008,0.850000024,0.876429021,0.876429021,3260600
7/30/2002,0.893571019,0.942857027,0.893571019,0.914286017,0.914286017,3777200
7/31/2002,0.928570986,0.959999979,0.905713975,0.953571022,0.953571022,3333400
8/1/2002,0.949999988,0.959999979,0.877857029,0.891429007,0.891429007,4529000
8/2/2002,0.886429012,0.88785702,0.706429005,0.777857006,0.777857006,6655600
8/5/2002,0.77857101,0.812856972,0.760713995,0.774999976,0.774999976,3808000
8/6/2002,0.795714021,0.803570986,0.742856979,0.760713995,0.760713995,3217200
8/7/2002,0.760713995,0.793570995,0.742856979,0.793570995,0.793570995,2758000
8/8/2002,0.796428978,0.803570986,0.750714004,0.796428978,0.796428978,2283400
8/9/2002,0.798570991,0.821429014,0.77857101,0.787142992,0.787142992,1500800
8/12/2002,0.802856982,0.807142973,0.753570974,0.757143021,0.757143021,2130800
8/13/2002,0.767857015,0.805000007,0.754285991,0.77285701,0.77285701,1677200
8/14/2002,0.77571398,0.833571017,0.771429002,0.833571017,0.833571017,4047400
8/15/2002,0.837143004,0.910713971,0.832857013,0.882857025,0.882857025,3263400
8/16/2002,0.892857015,0.924286008,0.857142985,0.912856996,0.912856996,1828400
8/19/2002,0.925000012,0.98428601,0.917856991,0.982142985,0.982142985,2074800
8/20/2002,0.985000014,0.993570983,0.921428978,0.946429014,0.946429014,2539600
8/21/2002,0.952857018,0.97142899,0.918570995,0.968571007,0.968571007,2779000
8/22/2002,0.973571002,0.999285996,0.929286003,0.983570993,0.983570993,2963800
8/23/2002,0.993570983,0.996429026,0.967857003,0.993570983,0.993570983,2406600
8/26/2002,0.996429026,0.996429026,0.937856972,0.967857003,0.967857003,2644600
8/27/2002,0.967857003,0.967857003,0.857856989,0.873570979,0.873570979,4984000
8/28/2002,0.861428976,0.889999986,0.824999988,0.864286005,0.864286005,2275000
8/29/2002,0.832857013,0.922142982,0.824285984,0.90357101,0.90357101,2395400
8/30/2002,0.914286017,0.962857008,0.894285977,0.936429024,0.936429024,2121000
